nu_m2_per_s,U_inf_m_per_s,x_m,Re_x,delta99_m
1e-06,0.1,0.5,50000,0.011001454449299
1e-06,0.1,0.511278195488722,51127.8195488722,0.011124839105029
1e-06,0.1,0.522556390977444,52255.6390977444,0.0112468702413411
1e-06,0.1,0.533834586466165,53383.4586466165,0.0113675914484268
1e-06,0.1,0.545112781954887,54511.2781954887,0.01148704402582
1e-06,0.1,0.556390977443609,55639.0977443609,0.0116052671474598
1e-06,0.1,0.567669172932331,56766.9172932331,0.0117222980117676
1e-06,0.1,0.578947368421053,57894.7368421053,0.0118381719783704
1e-06,0.1,0.590225563909774,59022.5563909775,0.0119529226928921
1e-06,0.1,0.601503759398496,60150.3759398496,0.0120665822010641
1e-06,0.1,0.612781954887218,61278.1954887218,0.012179181053249
1e-06,0.1,0.62406015037594,62406.015037594,0.0122907484003457
1e-06,0.1,0.635338345864662,63533.8345864662,0.0124013120819284
1e-06,0.1,0.646616541353383,64661.6541353384,0.0125108987073737
1e-06,0.1,0.657894736842105,65789.4736842105,0.0126195337306474
1e-06,0.1,0.669172932330827,66917.2932330827,0.0127272415193446
1e-06,0.1,0.680451127819549,68045.1127819549,0.0128340454185152
1e-06,0.1,0.691729323308271,69172.9323308271,0.0129399678097472
1e-06,0.1,0.703007518796992,70300.7518796992,0.013045030165932
1e-06,0.1,0.714285714285714,71428.5714285714,0.0131492531020913
1e-06,0.1,0.725563909774436,72556.3909774436,0.013252656422606
1e-06,0.1,0.736842105263158,73684.2105263158,0.0133552591651537
1e-06,0.1,0.74812030075188,74812.030075188,0.0134570796416311
1e-06,0.1,0.759398496240602,75939.8496240602,0.0135581354763103
1e-06,0.1,0.770676691729323,77067.6691729324,0.0136584436414537
1e-06,0.1,0.781954887218045,78195.4887218045,0.013758020490592
1e-06,0.1,0.793233082706767,79323.3082706767,0.0138568817896499
1e-06,0.1,0.804511278195489,80451.1278195489,0.0139550427460869
1e-06,0.1,0.815789473684211,81578.9473684211,0.014052518036206
1e-06,0.1,0.827067669172932,82706.7669172933,0.014149321830769
1e-06,0.1,0.838345864661654,83834.5864661654,0.0142454678190454
1e-06,0.1,0.849624060150376,84962.4060150376,0.0143409692314097
1e-06,0.1,0.860902255639098,86090.2255639098,0.0144358388605935
1e-06,0.1,0.87218045112782,87218.045112782,0.0145300890816885
1e-06,0.1,0.883458646616541,88345.8646616541,0.0146237318709892
1e-06,0.1,0.894736842105263,89473.6842105263,0.0147167788237565
1e-06,0.1,0.906015037593985,90601.5037593985,0.0148092411709767
1e-06,0.1,0.917293233082707,91729.3233082707,0.0149011297951844
1e-06,0.1,0.928571428571429,92857.1428571429,0.0149924552454131
1e-06,0.1,0.93984962406015,93984.9624060151,0.0150832277513302
1e-06,0.1,0.951127819548872,95112.7819548872,0.0151734572366115
1e-06,0.1,0.962406015037594,96240.6015037594,0.0152631533316042
1e-06,0.1,0.973684210526316,97368.4210526316,0.0153523253853233
1e-06,0.1,0.984962406015038,98496.2406015038,0.0154409824768252
1e-06,0.1,0.996240601503759,99624.060150376,0.0155291334259966
1e-06,0.1,1.00751879699248,100751.879699248,0.0156167868037951
1e-06,0.1,1.0187969924812,101879.69924812,0.0157039509419754
1e-06,0.1,1.03007518796992,103007.518796993,0.0157906339423328
1e-06,0.1,1.04135338345865,104135.338345865,0.0158768436854916
1e-06,0.1,1.05263157894737,105263.157894737,0.015962587839267
1e-06,0.1,1.06390977443609,106390.977443609,0.0160478738666248
1e-06,0.1,1.07518796992481,107518.796992481,0.0161327090332616
1e-06,0.1,1.08646616541353,108646.616541353,0.0162171004148295
1e-06,0.1,1.09774436090226,109774.436090226,0.0163010549038227
1e-06,0.1,1.10902255639098,110902.255639098,0.0163845792161479
1e-06,0.1,1.1203007518797,112030.07518797,0.0164676798973932
1e-06,0.1,1.13157894736842,113157.894736842,0.0165503633288152
1e-06,0.1,1.14285714285714,114285.714285714,0.0166326357330572
1e-06,0.1,1.15413533834586,115413.533834586,0.0167145031796148
1e-06,0.1,1.16541353383459,116541.353383459,0.016795971590061
1e-06,0.1,1.17669172932331,117669.172932331,0.0168770467430447
1e-06,0.1,1.18796992481203,118796.992481203,0.0169577342790745
1e-06,0.1,1.19924812030075,119924.812030075,0.0170380397050976
1e-06,0.1,1.21052631578947,121052.631578947,0.0171179683988861
1e-06,0.1,1.2218045112782,122180.45112782,0.01719752561324
1e-06,0.1,1.23308270676692,123308.270676692,0.0172767164800152
1e-06,0.1,1.24436090225564,124436.090225564,0.0173555460139867
1e-06,0.1,1.25563909774436,125563.909774436,0.0174340191165546
1e-06,0.1,1.26691729323308,126691.729323308,0.0175121405793002
1e-06,0.1,1.2781954887218,127819.54887218,0.0175899150874004
1e-06,0.1,1.28947368421053,128947.368421053,0.0176673472229064
1e-06,0.1,1.30075187969925,130075.187969925,0.0177444414678941
1e-06,0.1,1.31203007518797,131203.007518797,0.0178212022074915
1e-06,0.1,1.32330827067669,132330.827067669,0.0178976337327894
1e-06,0.1,1.33458646616541,133458.646616541,0.0179737402436406
1e-06,0.1,1.34586466165414,134586.466165414,0.0180495258513526
1e-06,0.1,1.35714285714286,135714.285714286,0.01812499458128
1e-06,0.1,1.36842105263158,136842.105263158,0.0182001503753186
1e-06,0.1,1.3796992481203,137969.92481203,0.0182749970943087
1e-06,0.1,1.39097744360902,139097.744360902,0.0183495385203491
1e-06,0.1,1.40225563909774,140225.563909774,0.0184237783590271
1e-06,0.1,1.41353383458647,141353.383458647,0.0184977202415686
1e-06,0.1,1.42481203007519,142481.203007519,0.0185713677269102
1e-06,0.1,1.43609022556391,143609.022556391,0.0186447243036979
1e-06,0.1,1.44736842105263,144736.842105263,0.018717793392216
1e-06,0.1,1.45864661654135,145864.661654135,0.0187905783462475
1e-06,0.1,1.46992481203008,146992.481203008,0.0188630824548706
1e-06,0.1,1.4812030075188,148120.30075188,0.0189353089441929
1e-06,0.1,1.49248120300752,149248.120300752,0.0190072609790262
1e-06,0.1,1.50375939849624,150375.939849624,0.0190789416645052
1e-06,0.1,1.51503759398496,151503.759398496,0.0191503540476508
1e-06,0.1,1.52631578947368,152631.578947368,0.0192215011188814
1e-06,0.1,1.53759398496241,153759.398496241,0.0192923858134742
1e-06,0.1,1.54887218045113,154887.218045113,0.0193630110129784
1e-06,0.1,1.56015037593985,156015.037593985,0.0194333795465818
1e-06,0.1,1.57142857142857,157142.857142857,0.0195034941924335
1e-06,0.1,1.58270676691729,158270.676691729,0.0195733576789233
1e-06,0.1,1.59398496240601,159398.496240602,0.0196429726859213
1e-06,0.1,1.60526315789474,160526.315789474,0.0197123418459764
1e-06,0.1,1.61654135338346,161654.135338346,0.0197814677454787
1e-06,0.1,1.62781954887218,162781.954887218,0.0198503529257844
1e-06,0.1,1.6390977443609,163909.77443609,0.0199189998843059
1e-06,0.1,1.65037593984962,165037.593984962,0.0199874110755685
1e-06,0.1,1.66165413533835,166165.413533835,0.0200555889122344
1e-06,0.1,1.67293233082707,167293.233082707,0.0201235357660955
1e-06,0.1,1.68421052631579,168421.052631579,0.0201912539690358
1e-06,0.1,1.69548872180451,169548.872180451,0.0202587458139661
1e-06,0.1,1.70676691729323,170676.691729323,0.0203260135557288
1e-06,0.1,1.71804511278195,171804.511278196,0.0203930594119777
1e-06,0.1,1.72932330827068,172932.330827068,0.0204598855640307
1e-06,0.1,1.7406015037594,174060.15037594,0.0205264941576981
1e-06,0.1,1.75187969924812,175187.969924812,0.0205928873040863
1e-06,0.1,1.76315789473684,176315.789473684,0.0206590670803785
1e-06,0.1,1.77443609022556,177443.609022556,0.0207250355305934
1e-06,0.1,1.78571428571429,178571.428571429,0.0207907946663215
1e-06,0.1,1.79699248120301,179699.248120301,0.0208563464674407
1e-06,0.1,1.80827067669173,180827.067669173,0.020921692882812
1e-06,0.1,1.81954887218045,181954.887218045,0.0209868358309558
1e-06,0.1,1.83082706766917,183082.706766917,0.0210517772007085
1e-06,0.1,1.84210526315789,184210.526315789,0.0211165188518622
1e-06,0.1,1.85338345864662,185338.345864662,0.0211810626157857
1e-06,0.1,1.86466165413534,186466.165413534,0.021245410296029
1e-06,0.1,1.87593984962406,187593.984962406,0.0213095636689116
1e-06,0.1,1.88721804511278,188721.804511278,0.0213735244840943
1e-06,0.1,1.8984962406015,189849.62406015,0.0214372944651363
1e-06,0.1,1.90977443609023,190977.443609023,0.0215008753100367
1e-06,0.1,1.92105263157895,192105.263157895,0.0215642686917625
1e-06,0.1,1.93233082706767,193233.082706767,0.0216274762587619
1e-06,0.1,1.94360902255639,194360.902255639,0.0216904996354646
1e-06,0.1,1.95488721804511,195488.721804511,0.0217533404227689
1e-06,0.1,1.96616541353383,196616.541353383,0.0218160001985161
1e-06,0.1,1.97744360902256,197744.360902256,0.0218784805179527
1e-06,0.1,1.98872180451128,198872.180451128,0.021940782914181
1e-06,0.1,2,200000,0.0220029088985979
1e-06,0.1,2.01127819548872,201127.819548872,0.0220648599613227
1e-06,0.1,2.02255639097744,202255.639097744,0.0221266375716141
1e-06,0.1,2.03383458646617,203383.458646617,0.0221882431782768
1e-06,0.1,2.04511278195489,204511.278195489,0.022249678210058
1e-06,0.1,2.05639097744361,205639.097744361,0.0223109440760338
1e-06,0.1,2.06766917293233,206766.917293233,0.0223720421659868
1e-06,0.1,2.07894736842105,207894.736842105,0.0224329738507732
1e-06,0.1,2.09022556390977,209022.556390977,0.0224937404826822
1e-06,0.1,2.1015037593985,210150.37593985,0.022554343395786
1e-06,0.1,2.11278195488722,211278.195488722,0.0226147839062817
1e-06,0.1,2.12406015037594,212406.015037594,0.0226750633128245
1e-06,0.1,2.13533834586466,213533.834586466,0.0227351828968536
1e-06,0.1,2.14661654135338,214661.654135338,0.0227951439229097
1e-06,0.1,2.15789473684211,215789.473684211,0.0228549476389457
1e-06,0.1,2.16917293233083,216917.293233083,0.0229145952766295
1e-06,0.1,2.18045112781955,218045.112781955,0.0229740880516401
1e-06,0.1,2.19172932330827,219172.932330827,0.0230334271639566
1e-06,0.1,2.20300751879699,220300.751879699,0.0230926137981406
1e-06,0.1,2.21428571428571,221428.571428571,0.0231516491236123
1e-06,0.1,2.22556390977444,222556.390977444,0.0232105342949196
1e-06,0.1,2.23684210526316,223684.210526316,0.0232692704520022
1e-06,0.1,2.24812030075188,224812.030075188,0.0233278587204485
1e-06,0.1,2.2593984962406,225939.84962406,0.0233863002117476
1e-06,0.1,2.27067669172932,227067.669172932,0.0234445960235353
1e-06,0.1,2.28195488721805,228195.488721805,0.0235027472398345
1e-06,0.1,2.29323308270677,229323.308270677,0.0235607549312905
1e-06,0.1,2.30451127819549,230451.127819549,0.023618620155401
1e-06,0.1,2.31578947368421,231578.947368421,0.0236763439567408
1e-06,0.1,2.32706766917293,232706.766917293,0.0237339273671821
1e-06,0.1,2.33834586466165,233834.586466165,0.0237913714061098
1e-06,0.1,2.34962406015038,234962.406015038,0.0238486770806315
1e-06,0.1,2.3609022556391,236090.22556391,0.0239058453857843
1e-06,0.1,2.37218045112782,237218.045112782,0.0239628773047354
1e-06,0.1,2.38345864661654,238345.864661654,0.0240197738089805
1e-06,0.1,2.39473684210526,239473.684210526,0.024076535858536
1e-06,0.1,2.40601503759398,240601.503759399,0.0241331644021283
1e-06,0.1,2.41729323308271,241729.323308271,0.0241896603773788
1e-06,0.1,2.42857142857143,242857.142857143,0.0242460247109854
1e-06,0.1,2.43984962406015,243984.962406015,0.024302258318899
1e-06,0.1,2.45112781954887,245112.781954887,0.024358362106498
1e-06,0.1,2.46240601503759,246240.601503759,0.0244143369687579
1e-06,0.1,2.47368421052632,247368.421052632,0.0244701837904181
1e-06,0.1,2.48496240601504,248496.240601504,0.0245259034461449
1e-06,0.1,2.49624060150376,249624.060150376,0.0245814968006915
1e-06,0.1,2.50751879699248,250751.879699248,0.0246369647090543
1e-06,0.1,2.5187969924812,251879.69924812,0.0246923080166268
1e-06,0.1,2.53007518796993,253007.518796993,0.0247475275593493
1e-06,0.1,2.54135338345865,254135.338345865,0.0248026241638568
1e-06,0.1,2.55263157894737,255263.157894737,0.0248575986476231
1e-06,0.1,2.56390977443609,256390.977443609,0.0249124518191024
1e-06,0.1,2.57518796992481,257518.796992481,0.0249671844778677
1e-06,0.1,2.58646616541353,258646.616541353,0.0250217974147474
